"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","5","1965-ESP32-C3-WROOM-02-H4CT-ND","ESP32-C3-WROOM-02-H4","RF TXRX MOD BT WIFI PCB TH SMD","","5","0","3.07000","15.35"
"2","5","604-RSCXJ3345R5F05013U-ND","RSCXJ3345R5F05013U","CAP 330MF -20% +80% 5.5V T/H","SuperCap","5","0","2.04000","10.20"
"3","3","620-1370-1-ND","ACS711ELCTR-12AB-T","SENSOR CURRENT HALL 12.5A AC/DC","current sensor","3","0","3.75000","11.25"
"4","5","AZ1117IH-3.3TRG1DICT-ND","AZ1117IH-3.3TRG1","IC REG LINEAR 3.3V 1A SOT223","3v3","5","0","0.59000","2.95"
"5","1","296-46394-1-ND","TPS76733QDR","IC REG LINEAR 3.3V 1A 8SOIC","3v3","1","0","5.90000","5.90"
"6","5","150-MCP1799T-5002H/DBCT-ND","MCP1799T-5002H/DB","IC REG LINEAR 5V 80MA SOT223-3","VoltReg 5V 80mA","5","0","0.90000","4.50"
"7","5","296-17616-1-ND","UA78M05IDCYR","IC REG LINEAR 5V 500MA SOT223-4","5V 500mA","5","0","0.98000","4.90"
"8","20","RMCF1210JT4K70CT-ND","RMCF1210JT4K70","RES 4.7K OHM 5% 1/2W 1210","","20","0","0.09200","1.84"
"9","50","13-RC1210JR-0710KLCT-ND","RC1210JR-0710KL","RES 10K OHM 5% 1/2W 1210","","50","0","0.04940","2.47"
"10","20","RMCF1210JT4K70CT-ND","RMCF1210JT4K70","RES 4.7K OHM 5% 1/2W 1210","","20","0","0.09200","1.84"
"11","20","13-RC1210JR-075K1LCT-ND","RC1210JR-075K1L","RES 5.1K OHM 5% 1/2W 1210","","20","0","0.10400","2.08"
"12","10","1276-1811-1-ND","CL32B105KBHNNNE","CAP CER 1UF 50V X7R 1210","","10","0","0.15100","1.51"
"13","10","1276-1854-1-ND","CL32A106KAULNNE","CAP CER 10UF 25V X5R 1210","","10","0","0.21600","2.16"
"14","1","ATTINY85-20PU-ND","ATTINY85-20PU","IC MCU 8BIT 8KB FLASH 8DIP","","1","0","2.55000","2.55"
"15","1","MCP4131-103E/P-ND","MCP4131-103E/P","IC DGTL POT 10KOHM 129TAP 8DIP","","1","0","1.47000","1.47"
"16","10","CKN12313-1-ND","PTS636 SL50 SMTR LFS","SWITCH TACTILE SPST-NO 0.05A 12V","push button","10","0","0.17500","1.75"
"17","10","ZXMP6A17GCT-ND","ZXMP6A17GTA","MOSFET P-CH 60V 3A SOT223","mosfet","10","0","0.71700","7.17"
"18","5","296-42401-1-ND","TXS0108EQPWRQ1","IC TRANSLATOR BIDIR 20TSSOP","GPIO buffer","5","0","2.69000","13.45"
