"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","1965-ESP32-S3-WROOM-1-N16R8CT-ND","ESP32-S3-WROOM-1-N16R8","RF TXRX MODULE BT PCB TRACE SMD","","1","0","3.90000","3.90"
"2","2","RMCF1206FT5K10CT-ND","RMCF1206FT5K10","RES 5.1K OHM 1% 1/4W 1206","","2","0","0.10000","0.20"
"3","5","RMCF1206FT10K0CT-ND","RMCF1206FT10K0","RES 10K OHM 1% 1/4W 1206","","5","0","0.10000","0.50"
"4","1","1276-1075-1-ND","CL31A106KAHNNNE","CAP CER 10UF 25V X5R 1206","","1","0","0.18000","0.18"
"5","1","1276-1068-1-ND","CL31B105KBHNNNE","CAP CER 1UF 50V X7R 1206","","1","0","0.14000","0.14"
"6","1","CP-002B-ND","PJ-002B","CONN PWR JACK 2.5X5.5MM SOLDER","","1","0","0.66000","0.66"
"7","1","L62501CT-ND","CMD17-21VRD/TR8","LED RED DIFFUSED 0805 SMD","","1","0","0.57000","0.57"
"8","1","L62505CT-ND","CMD17-21VGD/TR8","LED GREEN DIFFUSED 0805 SMD","","1","0","0.72000","0.72"
"9","1","450-1758-1-ND","FSMSMTR","SWITCH TACTILE SPST-NO 0.05A 24V","","1","0","0.59000","0.59"
"10","1","2073-USB4085-GF-ACT-ND","USB4085-GF-A","CONN RCPT USB2.0 TYPE C 16+8POS","USB-C HORIZONTAL","1","0","1.18000","1.18"
"11","1","5272-AMS1117-3.3CT-ND","AMS1117-3.3","IC LDO REG 3.3V 1A SOT223","","1","0","0.58000","0.58"
"12","1","5272-AMS1117-5.0CT-ND","AMS1117-5.0","IC LDO REG 5V 1A SOT223","","1","0","0.31000","0.31"
"13","1","DMP6180SK3Q-13DICT-ND","DMP6180SK3Q-13","MOSFET P-CHANNEL 60V 14A TO252","","1","0","0.78000","0.78"
"14","2","EG5042CT-ND","TL1014BF160QG","SWITCH TACTILE SPST-NO 0.05A 12V","","2","0","0.89000","1.78"
"15","1","399-13672-1-ND","A765EB107M1CLAE025","CAP ALUM POLY 100UF 20% 16V SMD","","1","0","0.85000","0.85"
